label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized,category
1,3021.09,284.76,0.9656014490409807,110,80,27.98765625,0.34375,69.09,48.44,6400,1.4262734584450403,0.47204531250000004,1
2,535.57,193.16,0.8841431156898232,94,80,4.9615625,0.29375,63.51,15.06,6400,4.2155172413793105,0.08368281250000001,1
3,887.04,169.28,0.9294676940477874,63,80,8.21765625,0.196875,27.4,37.01,6400,0.7403508771929824,0.1386,1
4,5179.55,353.78,0.9657410610396553,160,80,47.98375,0.5,73.38,77.66,6400,0.9448160535117057,0.8093046875000001,2
5,10805.58,640.29,0.8876228741643865,291,80,100.10375,0.909375,88.18,155.58,6400,0.5667779632721202,1.688371875,3
6,671.19,172.18,0.8533290447089096,76,80,6.21796875,0.2375,15.58,56.23,6400,0.27713625866050806,0.10487343750000001,1
7,2663.78,276.83,0.9578438567018625,138,80,24.6775,0.43125,37.4,81.69,6400,0.4578696343402226,0.41621562500000003,1
8,5374.22,366.54,0.9534379217173001,158,80,49.7871875,0.49375,74.55,79.87,6400,0.9333333333333333,0.8397218750000001,2
