label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized,category
1,356.3,13.78,0.8530872672939466,56,20,52.8125,0.7,2.6,3.27,400,0.7938144329896907,0.89075,NO_CATEGORY
2,354.01,15.36,0.8469795407772084,62,20,52.4725,0.775,2.41,4.23,400,0.5697211155378487,0.885025,NO_CATEGORY
3,407.83,13.33,0.8990518683770218,40,20,60.45,0.5,2.7,3.04,400,0.8888888888888888,1.019575,NO_CATEGORY
4,322.3,11.69,0.8761978999495621,32,20,47.7725,0.4,2.43,2.88,400,0.8421052631578947,0.8057500000000001,NO_CATEGORY
5,372.29,13.13,0.8918023514201446,55,20,55.1825,0.6875,2.92,3.41,400,0.8564356435643564,0.930725,NO_CATEGORY
6,330.83,11.63,0.9093648585999072,47,20,49.0375,0.5875,2.5,2.7,400,0.925,0.827075,NO_CATEGORY
7,253.8,10.47,0.8756983240223464,40,20,37.62,0.5,2.77,2.55,400,1.086092715231788,0.6345000000000001,NO_CATEGORY
8,25.75,11.04,0.5004916420845624,40,20,3.8175,0.5,1.03,1.28,400,0.8026315789473685,0.064375,NO_CATEGORY
9,305.72,11.39,0.9137009779211615,33,20,45.315,0.4125,2.58,2.55,400,1.0132450331125828,0.7643000000000001,NO_CATEGORY
10,444.0,18.66,0.7310063312229257,75,20,65.8125,0.9375,4.62,3.04,400,1.5222222222222221,1.11,NO_CATEGORY
11,202.83,14.81,0.8249416929619975,54,20,30.065,0.675,1.33,4.0,400,0.3333333333333333,0.507075,NO_CATEGORY
12,345.07,12.14,0.878709788257527,39,20,51.1475,0.4875,2.83,2.85,400,0.9940828402366864,0.862675,NO_CATEGORY
13,383.47,12.7,0.898869297066498,53,20,56.84,0.6625,2.7,2.88,400,0.935672514619883,0.958675,NO_CATEGORY
14,342.55,11.38,0.9102724991036214,34,20,50.775,0.425,2.41,2.78,400,0.8666666666666667,0.856375,NO_CATEGORY
15,349.84,12.72,0.9155998940584444,43,20,51.855,0.5375,2.55,3.17,400,0.8031914893617021,0.8745999999999999,NO_CATEGORY
16,383.82,12.69,0.915774647887324,43,20,56.8925,0.5375,2.75,2.87,400,0.9588235294117647,0.95955,NO_CATEGORY
17,394.16,13.31,0.8889311525294789,54,20,58.425,0.675,2.7,3.54,400,0.7619047619047619,0.9854,NO_CATEGORY
18,312.6,12.4,0.8720651202183222,45,20,46.335,0.5625,2.75,2.83,400,0.9702380952380952,0.7815000000000001,NO_CATEGORY
19,432.3,14.96,0.8756448361859861,46,20,64.0775,0.575,3.42,2.87,400,1.1941176470588235,1.08075,NO_CATEGORY
20,362.91,11.93,0.9275768418329956,26,20,53.7925,0.325,2.56,2.88,400,0.8888888888888888,0.907275,NO_CATEGORY
21,380.37,12.59,0.9021521721737739,46,20,56.38,0.575,2.66,3.19,400,0.8359788359788359,0.950925,NO_CATEGORY
22,343.94,11.56,0.8925460673173721,36,20,50.98,0.45,2.43,3.17,400,0.7659574468085106,0.85985,NO_CATEGORY
23,289.59,10.31,0.9193125234245328,28,20,42.925,0.35,2.16,2.7,400,0.8,0.7239749999999999,NO_CATEGORY
24,412.09,12.51,0.9221391908212561,43,20,61.0825,0.5375,2.66,3.37,400,0.79,1.030225,NO_CATEGORY
25,412.7,14.03,0.883963729634045,44,20,61.1725,0.55,2.7,3.69,400,0.730593607305936,1.03175,NO_CATEGORY
26,595.29,15.72,0.9264265840726548,68,20,88.2375,0.85,3.78,3.31,400,1.1428571428571428,1.488225,NO_CATEGORY
27,582.2,17.04,0.8929098010812488,63,20,86.2975,0.7875,5.08,3.36,400,1.5125628140703518,1.4555,NO_CATEGORY
