label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized,category
1,233.45,17.3,0.7490529278060396,50,50,5.5364,0.25,5.82,1.18,2500,4.928571428571429,0.09337999999999999,NO_CATEGORY
2,21.12,4.21,0.7854454203262233,14,50,0.5008,0.07,0.64,1.01,2500,0.6333333333333333,0.008448,NO_CATEGORY
3,221.91,27.11,0.7620619750941211,102,50,5.2628,0.51,5.19,1.15,2500,4.529411764705882,0.088764,NO_CATEGORY
4,84.4,15.7,0.4572786256054098,52,50,2.0016,0.26,5.8,0.98,2500,5.931034482758621,0.033760000000000005,NO_CATEGORY
5,2152.3,37.09,0.8524211271651203,127,50,51.044,0.635,6.41,8.16,2500,0.7851239669421488,0.86092,NO_CATEGORY
6,1725.85,25.88,0.9447162878298281,90,50,40.9304,0.45,5.28,6.53,2500,0.8087855297157622,0.69034,NO_CATEGORY
7,2236.8,30.4,0.9395412103093076,117,50,53.048,0.585,6.56,7.22,2500,0.9088785046728972,0.8947200000000001,NO_CATEGORY
8,2189.62,29.86,0.9476408070308622,100,50,51.9292,0.5,6.66,6.43,2500,1.036745406824147,0.875848,NO_CATEGORY
9,283.71,12.52,0.8826214712981425,56,50,6.7284,0.28,1.94,4.15,2500,0.46747967479674796,0.11348399999999999,NO_CATEGORY
10,318.59,15.22,0.8420559914407989,39,50,7.5556,0.195,1.26,6.05,2500,0.20891364902506965,0.127436,NO_CATEGORY
11,2244.3,29.94,0.9587299071278811,106,50,53.226,0.53,6.98,6.14,2500,1.1373626373626373,0.8977200000000001,NO_CATEGORY
12,2155.77,30.42,0.9335290723577058,127,50,51.1264,0.635,6.26,8.72,2500,0.7176015473887815,0.862308,NO_CATEGORY
13,2141.05,29.5,0.9457830427656087,107,50,50.7772,0.535,5.89,6.88,2500,0.8553921568627451,0.8564200000000001,NO_CATEGORY
14,11.13,2.82,0.5983680870353582,9,50,0.264,0.045,0.69,0.76,2500,0.9111111111111111,0.004452,NO_CATEGORY
15,828.92,27.2,0.6093862368257904,97,50,19.6588,0.485,4.32,8.65,2500,0.49902534113060426,0.331568,NO_CATEGORY
16,2397.06,33.61,0.8847291131045387,125,50,56.8488,0.625,6.51,8.77,2500,0.7423076923076923,0.958824,NO_CATEGORY
17,177.7,9.05,0.8898648648648648,34,50,4.2144,0.17,1.8,2.5,2500,0.722972972972973,0.07107999999999999,NO_CATEGORY
18,2377.48,30.89,0.9406744032405523,98,50,56.3844,0.49,6.44,6.95,2500,0.9271844660194175,0.9509920000000001,NO_CATEGORY
19,1847.66,29.77,0.9352605202721739,106,50,43.8192,0.53,5.9,6.41,2500,0.9210526315789473,0.739064,NO_CATEGORY
20,3.27,1.24,0.6855123674911661,1,50,0.0776,0.005,0.39,0.29,2500,1.3529411764705883,0.001308,NO_CATEGORY
