label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized,category
1,64.55,39.8,0.882407193912843,15,10,38.27,0.375,8.83,9.61,100,0.918918918918919,0.6455,NO_CATEGORY
2,64.31,46.42,0.8551244673693653,22,10,38.13,0.55,9.48,9.61,100,0.9864864864864865,0.6431,NO_CATEGORY
3,28.86,71.99,0.5699533644237175,28,10,17.11,0.7,10.65,6.62,100,1.607843137254902,0.28859999999999997,NO_CATEGORY
4,66.79,100.77,0.764774044032445,44,10,39.6,1.1,9.35,12.34,100,0.7578947368421053,0.6679,NO_CATEGORY
5,132.75,65.0,0.8862740682355591,31,10,78.71,0.775,10.0,19.48,100,0.5133333333333333,1.3275,NO_CATEGORY
6,91.94,44.9,0.9094094094094094,14,10,54.51,0.35,10.13,12.6,100,0.8041237113402062,0.9194,NO_CATEGORY
7,103.54,50.84,0.8788833214030064,22,10,61.39,0.55,9.22,16.62,100,0.5546875,1.0354,NO_CATEGORY
8,69.96,46.11,0.8549051937345424,20,10,41.48,0.5,9.09,10.65,100,0.8536585365853658,0.6995999999999999,NO_CATEGORY
9,77.04,47.31,0.8555909346319536,24,10,45.68,0.6,9.87,10.91,100,0.9047619047619048,0.7704000000000001,NO_CATEGORY
10,86.74,39.27,0.9415964848041011,10,10,51.43,0.25,9.87,11.17,100,0.8837209302325582,0.8674,NO_CATEGORY
11,70.42,53.74,0.8194308145240432,25,10,41.75,0.625,10.65,11.3,100,0.9425287356321839,0.7042,NO_CATEGORY
12,69.98,50.47,0.794066985645933,24,10,41.49,0.6,9.61,13.12,100,0.7326732673267327,0.6998000000000001,NO_CATEGORY
13,68.17,47.77,0.8771701388888888,17,10,40.42,0.425,9.35,9.48,100,0.9863013698630136,0.6817,NO_CATEGORY
14,92.6,45.3,0.8621231155778895,17,10,54.9,0.425,11.17,12.34,100,0.9052631578947369,0.9259999999999999,NO_CATEGORY
15,78.34,39.51,0.9168969601263324,12,10,46.45,0.3,9.35,10.65,100,0.8780487804878049,0.7834,NO_CATEGORY
16,91.75,49.05,0.8600790513833992,23,10,54.4,0.575,10.13,12.08,100,0.8387096774193549,0.9175,NO_CATEGORY
17,37.27,39.11,0.8083394294074616,20,10,22.1,0.5,7.14,8.44,100,0.8461538461538461,0.37270000000000003,NO_CATEGORY
18,53.99,37.67,0.8309968847352025,13,10,32.01,0.325,7.27,12.34,100,0.5894736842105263,0.5399,NO_CATEGORY
19,71.61,40.67,0.8942712721145746,13,10,42.46,0.325,8.44,11.95,100,0.7065217391304348,0.7161,NO_CATEGORY
20,80.45,40.7,0.879424778761062,14,10,47.7,0.35,10.0,11.43,100,0.875,0.8045,NO_CATEGORY
21,59.1,34.63,0.9211356466876972,9,10,35.04,0.225,6.36,12.21,100,0.5212765957446809,0.591,NO_CATEGORY
22,90.17,45.33,0.8870084619213539,18,10,53.46,0.45,10.52,12.73,100,0.826530612244898,0.9017000000000001,NO_CATEGORY
23,75.44,42.45,0.8685436893203884,17,10,44.73,0.425,8.57,12.08,100,0.7096774193548387,0.7544,NO_CATEGORY
24,96.71,43.53,0.9010056568196103,18,10,57.34,0.45,10.65,12.47,100,0.8541666666666666,0.9671,NO_CATEGORY
25,55.68,42.73,0.8142575234336458,25,10,33.01,0.625,8.83,10.13,100,0.8717948717948718,0.5568,NO_CATEGORY
26,90.59,49.82,0.8730494148244473,25,10,53.71,0.625,10.13,13.9,100,0.7289719626168224,0.9059,NO_CATEGORY
27,92.61,48.36,0.8624155803361081,22,10,54.91,0.55,11.3,11.95,100,0.9456521739130435,0.9261,NO_CATEGORY
28,88.99,43.36,0.9037341555327166,15,10,52.76,0.375,11.04,12.21,100,0.9042553191489362,0.8898999999999999,NO_CATEGORY
29,52.05,43.71,0.8351826792963464,19,10,30.86,0.475,8.7,8.44,100,1.0307692307692307,0.5205,NO_CATEGORY
30,105.18,43.68,0.9343721905903506,12,10,62.36,0.3,10.52,11.95,100,0.8804347826086957,1.0518,NO_CATEGORY
31,82.16,43.41,0.8883822724785702,20,10,48.71,0.5,9.35,12.21,100,0.7659574468085106,0.8216,NO_CATEGORY
32,109.16,48.59,0.9016439119531903,23,10,64.72,0.575,11.04,14.42,100,0.7657657657657657,1.0916,NO_CATEGORY
33,95.11,47.93,0.8826107372045704,25,10,56.39,0.625,10.78,13.25,100,0.8137254901960784,0.9511,NO_CATEGORY
34,101.45,48.34,0.8928306367819504,20,10,60.15,0.5,9.61,13.77,100,0.6981132075471698,1.0145,NO_CATEGORY
35,75.43,57.52,0.719781104136488,30,10,44.72,0.75,7.79,16.1,100,0.4838709677419355,0.7543000000000001,NO_CATEGORY
36,81.7,40.48,0.9030574198359433,11,10,48.44,0.275,9.87,10.52,100,0.9382716049382716,0.8170000000000001,NO_CATEGORY
