label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized,category
1,1521.18,282.63,0.9164168791976995,144,80,14.09234375,0.45,70.65,25.32,6400,2.7897435897435896,0.237684375,1
2,807.35,249.65,0.8819530170428374,113,80,7.479375,0.353125,46.23,26.1,6400,1.771144278606965,0.12614843750000002,1
3,927.3,253.69,0.901754961456454,138,80,8.590625,0.43125,57.92,23.25,6400,2.4916201117318435,0.144890625,1
4,2546.78,261.41,0.9409678947106037,134,80,23.59359375,0.41875,52.08,57.14,6400,0.9113636363636364,0.397934375,1
5,10548.3,509.55,0.9597477134614204,257,80,97.7203125,0.803125,161.17,84.16,6400,1.9151234567901234,1.6481718749999998,3
6,3453.44,282.91,0.9450128998610784,122,80,31.99296875,0.38125,56.49,72.86,6400,0.7754010695187166,0.5396,1
