label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized,category
1,781.97,34.39,0.864513602714949,151,60,12.87861111111111,0.6291666666666667,6.75,2.56,3600,2.6315789473684212,0.2172138888888889,NO_CATEGORY
2,2685.46,59.22,0.9409668459310916,227,60,44.22805555555556,0.9458333333333333,7.64,7.08,3600,1.0785714285714285,0.7459611111111111,NO_CATEGORY
3,3229.7,40.83,0.9580341910274819,149,60,53.19138888888889,0.6208333333333333,7.94,7.62,3600,1.0420353982300885,0.8971388888888888,NO_CATEGORY
4,2529.0,33.62,0.9281244390524707,122,60,41.65138888888889,0.5083333333333333,8.87,5.87,3600,1.5114942528735633,0.7025,NO_CATEGORY
5,1873.89,27.68,0.905558725242481,100,60,30.861944444444443,0.4166666666666667,7.79,5.52,3600,1.4128440366972477,0.520525,NO_CATEGORY
6,3233.44,34.0,0.9242870573487935,116,60,53.253055555555555,0.48333333333333334,8.52,7.93,3600,1.074468085106383,0.8981777777777777,NO_CATEGORY
7,3021.45,33.28,0.9673050859355173,104,60,49.76166666666666,0.43333333333333335,7.84,7.1,3600,1.1045130641330165,0.8392916666666667,NO_CATEGORY
8,4705.1,53.22,0.9244815313135866,206,60,77.49055555555556,0.8583333333333333,7.99,12.13,3600,0.6592489568845619,1.3069722222222224,NO_CATEGORY
9,3386.33,38.33,0.9562993269858205,140,60,55.77111111111111,0.5833333333333334,11.72,7.24,3600,1.6200466200466201,0.9406472222222222,NO_CATEGORY
10,2074.16,27.51,0.948099206685735,73,60,34.16027777777778,0.30416666666666664,7.54,5.43,3600,1.3881987577639752,0.5761555555555555,NO_CATEGORY
