label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized,category
1,8303.63,61.19,0.9605852603975619,228,10,4923.23,5.7,12.11,12.62,100,True,83.0363,NO_CATEGORY
2,9584.28,60.15,0.9702133689830442,204,10,5682.53,5.1,14.89,13.05,100,False,95.84280000000001,NO_CATEGORY
3,11784.65,68.6,0.9685205489705762,266,10,6987.13,6.65,18.74,12.26,100,False,117.84649999999999,NO_CATEGORY
4,2769.48,42.09,0.8296223316912972,155,10,1642.03,3.875,7.81,9.68,100,False,27.6948,NO_CATEGORY
5,135.3,8.38,0.8652788264480639,26,10,80.22,0.65,1.77,2.13,100,False,1.3530000000000002,NO_CATEGORY
