label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized,category
1,4930.94,56.0,0.9515155262926643,216,70,59.66448979591837,0.7714285714285715,11.69,8.55,4900,False,1.0063142857142857,NO_CATEGORY
2,161.49,9.38,0.89003532255066,41,70,1.9540816326530612,0.14642857142857144,2.4,2.36,4900,True,0.03295714285714286,NO_CATEGORY
3,1265.94,27.47,0.9041498524363067,116,70,15.31795918367347,0.4142857142857143,2.7,9.83,4900,False,0.25835510204081635,NO_CATEGORY
4,1778.54,28.64,0.9306656311228002,90,70,21.520408163265305,0.32142857142857145,4.37,8.45,4900,False,0.3629673469387755,NO_CATEGORY
5,836.5,37.47,0.8601158475252333,154,70,10.121632653061225,0.55,2.77,7.51,4900,False,0.1707142857142857,NO_CATEGORY
6,2.16,1.02,0.6274509803921569,1,70,0.026122448979591838,0.0035714285714285713,0.39,0.22,4900,False,0.0004408163265306123,NO_CATEGORY
7,50.33,4.08,0.9158993247391037,11,70,0.6089795918367347,0.039285714285714285,1.32,0.91,4900,False,0.01027142857142857,NO_CATEGORY
8,4405.02,52.11,0.9429753617746455,214,70,53.300816326530615,0.7642857142857142,5.75,16.55,4900,False,0.8989836734693878,NO_CATEGORY
9,4686.73,45.04,0.9562872747170305,159,70,56.709591836734695,0.5678571428571428,7.88,11.11,4900,False,0.9564755102040815,NO_CATEGORY
10,2718.08,34.78,0.912909493624277,123,70,32.888775510204084,0.4392857142857143,7.67,8.74,4900,False,0.5547102040816326,NO_CATEGORY
11,666.52,18.4,0.8436626032749087,82,70,8.064897959183673,0.29285714285714287,3.36,5.01,4900,False,0.13602448979591836,NO_CATEGORY
12,2347.88,32.51,0.9390899585118224,129,70,28.409387755102042,0.4607142857142857,5.25,9.5,4900,False,0.47915918367346944,NO_CATEGORY
13,2561.03,34.1,0.9086089386477737,129,70,30.98857142857143,0.4607142857142857,10.47,5.6,4900,False,0.5226591836734694,NO_CATEGORY
14,1198.63,21.92,0.9294663876536752,84,70,14.503469387755102,0.3,5.5,5.53,4900,True,0.2446183673469388,NO_CATEGORY
15,558.15,19.83,0.8417397939717665,67,70,6.753673469387755,0.2392857142857143,6.61,2.33,4900,False,0.11390816326530612,NO_CATEGORY
