label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized
1,343.63,126.02,0.8810759384189587,75.0,20.0,50.935,0.9375,21.3,28.83,400.0,0.7387387387387387,0.859075
2,301.84,88.72,0.8975825057678805,45.0,20.0,44.74,0.5625,20.13,19.48,400.0,1.0333333333333334,0.7545999999999999
3,338.32,85.82,0.928227672373901,24.0,20.0,50.1475,0.3,18.7,22.08,400.0,0.8470588235294118,0.8458
4,2.55,7.09,0.8342541436464088,1.0,20.0,0.3775,0.0125,1.69,2.47,400.0,0.6842105263157895,0.006375
5,142.5,174.35,0.7182080924855492,76.0,20.0,21.1225,0.95,18.18,15.32,400.0,1.1864406779661016,0.35625
6,345.13,104.75,0.8770358306188925,61.0,20.0,51.1575,0.7625,19.74,24.03,400.0,0.8216216216216217,0.862825
7,350.73,87.29,0.9213966059639328,26.0,20.0,51.9875,0.325,18.05,24.42,400.0,0.7393617021276596,0.8768250000000001
8,290.93,94.95,0.9006840373870816,38.0,20.0,43.1225,0.475,19.22,18.31,400.0,1.049645390070922,0.727325
9,3.61,13.49,0.5376884422110553,5.0,20.0,0.535,0.0625,3.25,3.25,400.0,1.0,0.009025
10,338.24,96.59,0.9170058073071471,49.0,20.0,50.135,0.6125,19.35,21.69,400.0,0.8922155688622755,0.8456
11,4.1,16.11,0.5799522673031027,6.0,20.0,0.6075,0.075,1.95,5.06,400.0,0.38461538461538464,0.010249999999999999
12,392.19,95.64,0.9165188601158804,39.0,20.0,58.1325,0.4875,20.13,24.16,400.0,0.8333333333333334,0.980475
13,364.55,98.76,0.8936944387016746,42.0,20.0,54.035,0.525,21.56,23.9,400.0,0.9021739130434783,0.911375
14,257.95,97.95,0.8677446808510638,44.0,20.0,38.235,0.55,18.7,18.57,400.0,1.006993006993007,0.644875
15,247.51,104.96,0.865526393394279,56.0,20.0,36.6875,0.7,17.4,22.21,400.0,0.783625730994152,0.618775
16,302.68,86.04,0.8802236609770453,27.0,20.0,44.865,0.3375,20.26,20.39,400.0,0.9936305732484076,0.7567
17,286.0,89.2,0.8825795034611982,42.0,20.0,42.3925,0.525,16.1,24.94,400.0,0.6458333333333334,0.715
18,397.96,124.44,0.9168091389493317,55.0,20.0,58.9875,0.6875,20.78,22.21,400.0,0.935672514619883,0.9948999999999999
