label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized
6,1402.9,22.33,0.9520092479197904,76.0,40.0,51.98625,0.475,5.23,5.19,1600.0,1.0064935064935066,0.8768125000000001
7,1849.2,28.03,0.9407762075149518,108.0,40.0,68.524375,0.675,7.0,6.53,1600.0,1.0723514211886305,1.15575
8,1430.53,23.44,0.9413749472796289,78.0,40.0,53.01,0.4875,5.23,5.16,1600.0,1.0130718954248366,0.8940812499999999
9,1131.13,22.55,0.9291097503532737,79.0,40.0,41.915625,0.49375,5.21,4.42,1600.0,1.1793893129770991,0.7069562500000001
10,1822.31,34.78,0.8619878095481236,153.0,40.0,67.528125,0.95625,5.57,7.96,1600.0,0.6991525423728814,1.13894375
11,1807.57,27.18,0.8914202536909961,95.0,40.0,66.981875,0.59375,5.7,7.61,1600.0,0.7494456762749445,1.1297312499999999
12,1972.69,31.04,0.8839787774351533,133.0,40.0,73.100625,0.83125,7.86,5.92,1600.0,1.3276353276353277,1.23293125
13,1252.96,22.0,0.93807455298515,71.0,40.0,46.43,0.44375,5.09,4.76,1600.0,1.070921985815603,0.7831
14,1395.49,22.49,0.9564317750959449,61.0,40.0,51.711875,0.38125,5.38,4.94,1600.0,1.0887372013651877,0.87218125
15,1257.29,22.5,0.94617063945371,80.0,40.0,46.590625,0.5,4.72,5.04,1600.0,0.9364548494983278,0.7858062499999999
16,985.98,19.48,0.9177669277987974,59.0,40.0,36.536875,0.36875,3.93,5.11,1600.0,0.768976897689769,0.6162375
17,1674.29,27.26,0.940020643352935,105.0,40.0,62.043125,0.65625,7.37,4.92,1600.0,1.4965753424657535,1.04643125
1,168.86,22.18,0.6527578563046029,86.0,40.0,6.2575,0.5375,6.0,1.23,1600.0,4.876712328767123,0.1055375
2,87.13,9.73,0.6547528517110266,37.0,40.0,3.22875,0.23125,3.12,0.98,1600.0,3.189655172413793,0.05445625
3,16.39,4.23,0.6576454668470907,13.0,40.0,0.6075,0.08125,1.01,0.54,1600.0,1.875,0.010243750000000001
