label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized
1,1354.95,211.51,0.9468777256547465,99.0,100.0,8.0335,0.2475,28.44,58.96,10000.0,0.48237885462555063,0.135495
2,15442.35,612.46,0.9699094476177562,267.0,100.0,91.5579,0.6675,167.27,98.96,10000.0,1.6902887139107612,1.544235
3,1126.19,193.74,0.9215269535455022,117.0,100.0,6.6772,0.2925,43.9,47.92,10000.0,0.9159891598915989,0.11261900000000001
4,8648.59,659.07,0.6981512014671665,408.0,100.0,51.2776,1.02,173.64,81.95,10000.0,2.1188589540412046,0.864859
5,711.2,150.51,0.8590258113146046,67.0,100.0,4.2167,0.1675,25.71,47.4,10000.0,0.5424657534246575,0.07112
1,8303.63,471.2,0.9605852603975619,228.0,100.0,49.2323,0.57,93.25,97.14,10000.0,0.9598930481283422,0.830363
2,9584.28,463.13,0.9702133689830442,204.0,100.0,56.8253,0.51,114.68,100.52,10000.0,1.1408268733850129,0.9584280000000001
3,11784.65,528.23,0.9685205489705762,266.0,100.0,69.8713,0.665,144.29,94.42,10000.0,1.5281980742778543,1.1784649999999999
4,2769.48,324.06,0.8296223316912972,155.0,100.0,16.4203,0.3875,60.13,74.55,10000.0,0.8066202090592335,0.276948
5,135.3,64.5,0.8652788264480639,26.0,100.0,0.8022,0.065,13.64,16.36,10000.0,0.8333333333333334,0.01353
1,9070.01,594.72,0.9665216242592862,304.0,100.0,53.7762,0.76,99.48,103.9,10000.0,0.9575,0.9070010000000001
2,8209.28,447.86,0.9658413749174014,200.0,100.0,48.6729,0.5,92.08,95.84,10000.0,0.9607046070460704,0.8209280000000001
3,9113.47,519.32,0.9630046141754456,256.0,100.0,54.0339,0.64,102.6,103.77,10000.0,0.9887359198998749,0.9113469999999999
4,8357.9,436.26,0.9670356905195411,204.0,100.0,49.5541,0.51,98.18,93.9,10000.0,1.045643153526971,0.8357899999999999
1,8335.99,524.42,0.960233918128655,264.0,100.0,49.4242,0.66,93.38,97.4,10000.0,0.9586666666666667,0.833599
2,8851.59,803.54,0.95782421188456,391.0,100.0,52.4812,0.9775,100.13,97.27,10000.0,1.0293724966622162,0.885159
3,9929.63,494.86,0.9495031764130966,219.0,100.0,58.8729,0.5475,107.01,116.1,10000.0,0.9217002237136466,0.9929629999999999
4,8327.34,435.81,0.9591030766421514,207.0,100.0,49.3729,0.5175,94.68,96.36,10000.0,0.9824797843665768,0.832734
1,7972.8,720.89,0.9605016387380193,356.0,100.0,47.2708,0.89,92.08,101.3,10000.0,0.908974358974359,0.79728
2,6709.03,427.66,0.9652135932931342,218.0,100.0,39.7779,0.545,82.86,91.95,10000.0,0.9011299435028248,0.670903
3,441.71,132.27,0.8781771846287976,77.0,100.0,2.6189,0.1925,22.73,39.74,10000.0,0.5718954248366013,0.044170999999999995
4,315.25,92.69,0.891023501930686,48.0,100.0,1.8691,0.12,26.36,22.34,10000.0,1.180232558139535,0.031525
5,2629.41,322.13,0.7850244221763433,173.0,100.0,15.5898,0.4325,45.84,114.29,10000.0,0.4011363636363636,0.262941
6,13317.45,537.26,0.9663157173330135,236.0,100.0,78.9593,0.59,153.25,103.64,10000.0,1.4786967418546366,1.3317450000000002
7,188.18,88.68,0.8143795620437956,47.0,100.0,1.1157,0.1175,14.55,26.49,10000.0,0.5490196078431373,0.018818
