label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized
1,181.9,87.01,0.8301262315270936,43.0,30.0,11.983333333333333,0.35833333333333334,31.04,9.35,900.0,3.3194444444444446,0.20211111111111113
2,180.97,102.8,0.8209640397857689,54.0,30.0,11.922222222222222,0.45,25.84,10.39,900.0,2.4875,0.20107777777777777
3,316.38,105.45,0.8833113580711999,42.0,30.0,20.842222222222222,0.35,26.49,15.19,900.0,1.7435897435897436,0.3515333333333333
4,45.37,68.08,0.5370333399880216,31.0,30.0,2.988888888888889,0.25833333333333336,27.4,4.55,900.0,6.0285714285714285,0.05041111111111111
5,245.86,178.59,0.8160900235136043,74.0,30.0,16.196666666666665,0.6166666666666667,30.13,12.99,900.0,2.32,0.2731777777777778
6,905.43,160.92,0.924119054586769,82.0,30.0,59.647777777777776,0.6833333333333333,39.22,36.23,900.0,1.082437275985663,1.0060333333333333
7,764.83,160.9,0.879005214289868,89.0,30.0,50.385555555555555,0.7416666666666667,41.17,29.35,900.0,1.4026548672566372,0.8498111111111112
8,827.79,142.46,0.9271047809743289,63.0,30.0,54.53333333333333,0.525,34.03,28.83,900.0,1.1801801801801801,0.9197666666666666
9,696.79,141.43,0.9144292702361717,65.0,30.0,45.903333333333336,0.5416666666666666,32.47,27.4,900.0,1.1848341232227488,0.7742111111111111
10,706.59,124.75,0.9410786890401419,43.0,30.0,46.54888888888889,0.35833333333333334,28.57,30.0,900.0,0.9523809523809523,0.7851
11,790.67,143.77,0.9236149420758137,70.0,30.0,52.08777777777778,0.5833333333333334,32.34,29.48,900.0,1.0969162995594715,0.8785222222222222
12,715.09,138.96,0.92898617410548,59.0,30.0,47.10888888888889,0.49166666666666664,30.13,30.78,900.0,0.9789029535864979,0.7945444444444445
13,895.71,141.2,0.935756700086339,62.0,30.0,59.007777777777775,0.5166666666666667,37.01,30.0,900.0,1.2337662337662338,0.9952333333333334
14,803.46,136.5,0.9301921424666094,51.0,30.0,52.93,0.425,32.21,29.09,900.0,1.1071428571428572,0.8927333333333334
15,703.03,129.9,0.9299881751857388,54.0,30.0,46.31444444444445,0.45,29.35,29.09,900.0,1.0089285714285714,0.7811444444444444
