label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized
1,6215.56,420.08,0.9172254329505348,227.0,80.0,57.58140625,0.709375,104.93,98.44,6400.0,1.0659630606860158,0.9711812500000001
2,5791.56,387.95,0.9573811993263965,172.0,80.0,53.6534375,0.5375,64.03,100.78,6400.0,0.6353092783505154,0.9049312500000001
3,908.13,225.89,0.8924895158215783,138.0,80.0,8.41296875,0.43125,16.36,84.81,6400.0,0.19295558958652373,0.1418953125
4,5617.39,383.18,0.9499546494315492,170.0,80.0,52.04,0.53125,78.57,79.74,6400.0,0.9853420195439739,0.8777171875
5,5635.44,348.17,0.9638657789368011,155.0,80.0,52.2071875,0.484375,78.96,77.53,6400.0,1.018425460636516,0.8805375
6,2035.2,287.87,0.8188585776330076,131.0,80.0,18.85421875,0.409375,42.86,73.38,6400.0,0.584070796460177,0.318
7,2.4,7.52,0.7513227513227513,1.0,80.0,0.0221875,0.003125,1.82,2.21,6400.0,0.8235294117647058,0.000375
1,3021.09,284.76,0.9656014490409807,110.0,80.0,27.98765625,0.34375,69.09,48.44,6400.0,1.4262734584450403,0.47204531250000004
2,535.57,193.16,0.8841431156898232,94.0,80.0,4.9615625,0.29375,63.51,15.06,6400.0,4.2155172413793105,0.08368281250000001
3,887.04,169.28,0.9294676940477874,63.0,80.0,8.21765625,0.196875,27.4,37.01,6400.0,0.7403508771929824,0.1386
4,5179.55,353.78,0.9657410610396553,160.0,80.0,47.98375,0.5,73.38,77.66,6400.0,0.9448160535117057,0.8093046875000001
5,10805.58,640.29,0.8876228741643865,291.0,80.0,100.10375,0.909375,88.18,155.58,6400.0,0.5667779632721202,1.688371875
6,671.19,172.18,0.8533290447089096,76.0,80.0,6.21796875,0.2375,15.58,56.23,6400.0,0.27713625866050806,0.10487343750000001
7,2663.78,276.83,0.9578438567018625,138.0,80.0,24.6775,0.43125,37.4,81.69,6400.0,0.4578696343402226,0.41621562500000003
8,5374.22,366.54,0.9534379217173001,158.0,80.0,49.7871875,0.49375,74.55,79.87,6400.0,0.9333333333333333,0.8397218750000001
1,2268.1,295.74,0.9444003567591104,147.0,80.0,21.011875,0.459375,78.05,40.52,6400.0,1.9262820512820513,0.35439062499999996
2,1223.37,317.0,0.8767133222133585,161.0,80.0,11.3334375,0.503125,87.14,24.29,6400.0,3.588235294117647,0.19115156249999998
3,2282.08,408.87,0.9245807765371526,209.0,80.0,21.14140625,0.653125,34.68,85.32,6400.0,0.4063926940639269,0.356575
4,4.62,21.26,0.5189393939393939,6.0,80.0,0.0428125,0.01875,4.03,2.99,6400.0,1.3478260869565217,0.000721875
5,5685.01,357.81,0.965525637353194,136.0,80.0,52.66640625,0.425,82.34,76.1,6400.0,1.081911262798635,0.8882828125000001
6,5179.72,360.96,0.9607059846652923,137.0,80.0,47.9853125,0.428125,83.38,69.48,6400.0,1.2,0.8093312500000001
7,5411.66,375.0,0.943275526013294,188.0,80.0,50.1340625,0.5875,72.6,84.68,6400.0,0.8573619631901841,0.845571875
8,870.53,242.6,0.835137452874456,137.0,80.0,8.0646875,0.428125,18.18,78.05,6400.0,0.23294509151414308,0.1360203125
9,4443.74,330.48,0.9547398173648355,141.0,80.0,41.1671875,0.440625,82.6,63.77,6400.0,1.295315682281059,0.694334375
1,2540.2,445.78,0.8779152798260595,224.0,80.0,23.53265625,0.7,70.65,46.49,6400.0,1.5195530726256983,0.39690624999999996
2,2147.68,553.19,0.8902623189216399,268.0,80.0,19.89625,0.8375,75.32,38.57,6400.0,1.9528619528619529,0.33557499999999996
3,5.75,19.03,0.6035398230088496,6.0,80.0,0.05328125,0.01875,3.64,3.64,6400.0,1.0,0.0008984375
4,26.06,79.17,0.5669724770642202,23.0,80.0,0.24140625,0.071875,9.48,6.1,6400.0,1.553191489361702,0.004071875
5,5.68,19.54,0.5168711656441718,11.0,80.0,0.05265625,0.034375,4.81,3.12,6400.0,1.5416666666666667,0.0008874999999999999
6,11.35,60.31,0.39728453364817,21.0,80.0,0.10515625,0.065625,6.88,6.88,6400.0,1.0,0.0017734374999999998
7,516.22,190.76,0.8865683747067172,94.0,80.0,4.78234375,0.29375,34.16,29.61,6400.0,1.1535087719298245,0.080659375
8,53.53,77.45,0.7208721326368385,32.0,80.0,0.4959375,0.1,10.91,8.96,6400.0,1.2173913043478262,0.0083640625
9,1617.5,313.81,0.8813792976683914,193.0,80.0,14.9846875,0.603125,23.51,95.45,6400.0,0.24625850340136055,0.252734375
10,4996.11,353.74,0.9661511164456389,150.0,80.0,46.284375,0.46875,73.12,74.93,6400.0,0.975736568457539,0.7806421874999999
11,7089.8,425.33,0.933410755801689,198.0,80.0,65.68046875,0.61875,83.38,100.39,6400.0,0.8305304010349288,1.10778125
12,1242.89,192.01,0.920148340533926,92.0,80.0,11.51421875,0.2875,24.42,60.65,6400.0,0.4025695931477516,0.1942015625
13,5379.85,372.75,0.9586482774373293,158.0,80.0,49.839375,0.49375,74.03,81.43,6400.0,0.9090909090909091,0.8406015625000001
14,3395.2,401.22,0.9414994621392826,219.0,80.0,31.4534375,0.684375,52.99,80.52,6400.0,0.6580645161290323,0.5305
15,3613.35,290.53,0.9526977449493714,130.0,80.0,33.474375,0.40625,74.29,54.94,6400.0,1.3522458628841607,0.5645859375
1,5627.35,403.01,0.9532497735772508,205.0,80.0,52.1321875,0.640625,69.35,94.03,6400.0,0.7375690607734806,0.8792734375000001
2,2249.06,290.72,0.9347778844873152,119.0,80.0,20.83546875,0.371875,31.95,82.6,6400.0,0.3867924528301887,0.351415625
3,5634.9,358.14,0.9656733242766714,152.0,80.0,52.2021875,0.475,78.7,76.88,6400.0,1.0236486486486487,0.880453125
4,6764.43,407.62,0.9600850293724775,192.0,80.0,62.66625,0.6,81.56,91.17,6400.0,0.8945868945868946,1.0569421875
5,6411.96,415.69,0.9631673355223155,189.0,80.0,59.4009375,0.590625,76.36,91.04,6400.0,0.8388017118402282,1.00186875
6,1416.04,208.23,0.9216523591015874,96.0,80.0,13.11828125,0.3,24.42,69.74,6400.0,0.3500931098696462,0.22125625
1,506.64,138.97,0.9016388522031457,61.0,80.0,4.69359375,0.190625,30.65,21.3,6400.0,1.4390243902439024,0.0791625
