0,1,40396
1,2,89908
2,3,86799
3,4,80227
4,5,54224
5,6,85550
6,7,92122
7,8,81436
8,9,64475
9,10,90532
10,11,95792
11,12,84610
12,13,57703
13,14,83191
14,15,98055
15,16,81320
16,17,59409
0,1,47986
1,2,85710
2,3,46339
3,4,51965
4,5,88683
5,6,79499
6,7,82993
7,8,88505
8,9,46230
9,10,44764
10,11,46067
11,12,114910
12,13,71081
13,14,58428
14,15,80776
15,16,104261
16,17,75889
17,18,90150
18,19,55015
0,1,40072
1,2,93490
2,3,57509
3,4,65767
4,5,69426
5,6,84345
6,7,110286
7,8,85105
8,9,67878
9,10,109396
10,11,107318
11,12,118372
12,13,74897
13,14,83803
14,15,75132
15,16,59361
16,17,99894
0,1,15223
1,2,6521
2,3,30856
3,4,2407
4,5,158789
5,6,82600
6,7,3842
7,8,62477
8,9,74263
9,10,87575
10,11,65809
11,12,88081
12,13,20950
13,14,105788
14,15,80496
15,16,15356
16,17,129631
17,18,98205
18,19,4845
19,20,104644
20,21,80196
21,22,70665
0,1,82494
1,2,40892
2,3,16955
3,4,160185
4,5,76400
5,6,155351
6,7,14124
7,8,90110
8,9,78137
9,10,22979
10,11,98496
11,12,28373
12,13,86200
13,14,99656
14,15,49277
15,16,50271
16,17,87105
17,18,96519
18,19,60300
0,1,51042
1,2,28596
2,3,34618
3,4,56565
4,5,96021
5,6,72039
6,7,63138
7,8,91556
8,9,114551
9,10,55898
10,11,46595
11,12,229913
12,13,61559
13,14,88726
14,15,92836
15,16,82109
16,17,76805
0,1,12660
1,2,12599
2,3,14161
3,4,33888
4,5,87166
5,6,78913
6,7,79753
7,8,59888
8,9,104755
9,10,81032
10,11,72068
11,12,41291
12,13,108835
13,14,88889
14,15,75741
15,16,62259
16,17,84278
17,18,81511
18,19,92423
19,20,80829
0,1,75522
1,2,88287
2,3,82961
3,4,80928
4,5,94378
5,6,88907
6,7,73979
7,8,73856
8,9,106999
9,10,88358
10,11,85328
11,12,80797
12,13,80546
13,14,88001
14,15,77003
15,16,77611
0,1,104032
1,2,132192
2,3,40940
3,4,87414
4,5,156130
5,6,89491
6,7,74514
7,8,83853
8,9,181328
9,10,77462
10,11,69385
11,12,176964
12,13,81067
13,14,71785
0,1,83486
1,2,162157
2,3,82281
3,4,90450
4,5,88157
5,6,95233
6,7,100634
7,8,125383
8,9,73997
9,10,85754
10,11,75034
11,12,79784
12,13,77140
13,14,98230
14,15,49304
0,1,29691
1,2,88229
2,3,80898
3,4,63940
4,5,62603
5,6,101855
6,7,113949
7,8,73625
8,9,69665
9,10,81309
10,11,171314
11,12,72737
12,13,109181
13,14,22938
14,15,63442
