0,1,133274
1,2,363980
2,3,361206
3,4,57854
4,5,357078
5,6,447719
0,1,82278
1,2,38821
2,3,501797
3,4,488854
4,5,414630
5,6,327679
6,7,13705
0,1,338389
1,2,498782
2,3,663886
3,4,449829
0,1,171494
1,2,122907
2,3,21006
3,4,20163
4,5,402664
5,6,6704
6,7,301733
7,8,24467
8,9,383295
9,10,477378
10,11,51018
0,1,23942
1,2,100100
2,3,849217
3,4,65556
4,5,591591
5,6,36264
6,7,10308
7,8,53408
8,9,52283
0,1,357215
1,2,252109
2,3,131053
3,4,620776
4,5,490075
0,1,65073
1,2,14989
2,3,409363
3,4,785716
4,5,401054
5,6,85072
0,1,454736
1,2,5020
2,3,11566
3,4,113598
4,5,291910
5,6,95548
6,7,206584
7,8,379578
8,9,3733
9,10,2944
10,11,291991
11,12,149404
0,1,342183
1,2,324488
2,3,286966
3,4,611454
4,5,321496
0,1,2626
1,2,57922
2,3,5357
3,4,391001
4,5,5020
5,6,6440
6,7,400964
7,8,2008
8,9,95800
9,10,304486
10,11,338613
11,12,239150
0,1,413293
1,2,455482
2,3,331439
3,4,31919
4,5,4400
5,6,359414
6,7,95110
7,8,264764
0,1,276471
1,2,200615
2,3,203998
3,4,192843
4,5,145851
5,6,95993
6,7,307902
7,8,242624
8,9,359648
0,1,113962
1,2,122664
2,3,186872
3,4,183728
4,5,67118
5,6,108974
6,7,284438
7,8,336345
8,9,429912
0,1,292770
1,2,79315
2,3,295098
3,4,151302
4,5,159706
5,6,35416
6,7,173398
7,8,23665
8,9,3291
9,10,398310
10,11,164864
0,1,31533
1,2,208101
2,3,85218
3,4,132315
4,5,97541
5,6,169900
6,7,146494
7,8,101063
0,1,133274
1,2,363980
2,3,361206
3,4,57854
4,5,357078
5,6,447719
0,1,82278
1,2,38821
2,3,501797
3,4,488854
4,5,414630
5,6,327679
6,7,13705
0,1,338389
1,2,498782
2,3,663886
3,4,449829
0,1,171494
1,2,122907
2,3,21006
3,4,20163
4,5,402664
5,6,6704
6,7,301733
7,8,24467
8,9,383295
9,10,477378
10,11,51018
0,1,23942
1,2,100100
2,3,849217
3,4,65556
4,5,591591
5,6,36264
6,7,10308
7,8,53408
8,9,52283
0,1,357215
1,2,252109
2,3,131053
3,4,620776
4,5,490075
0,1,65073
1,2,14989
2,3,409363
3,4,785716
4,5,401054
5,6,85072
0,1,454736
1,2,5020
2,3,11566
3,4,113598
4,5,291910
5,6,95548
6,7,206584
7,8,379578
8,9,3733
9,10,2944
10,11,291991
11,12,149404
0,1,342183
1,2,324488
2,3,286966
3,4,611454
4,5,321496
0,1,2626
1,2,57922
2,3,5357
3,4,391001
4,5,5020
5,6,6440
6,7,400964
7,8,2008
8,9,95800
9,10,304486
10,11,338613
11,12,239150
0,1,413293
1,2,455482
2,3,331439
3,4,31919
4,5,4400
5,6,359414
6,7,95110
7,8,264764
0,1,276471
1,2,200615
2,3,203998
3,4,192843
4,5,145851
5,6,95993
6,7,307902
7,8,242624
8,9,359648
0,1,113962
1,2,122664
2,3,186872
3,4,183728
4,5,67118
5,6,108974
6,7,284438
7,8,336345
8,9,429912
0,1,292770
1,2,79315
2,3,295098
3,4,151302
4,5,159706
5,6,35416
6,7,173398
7,8,23665
8,9,3291
9,10,398310
10,11,164864
0,1,31533
1,2,208101
2,3,85218
3,4,132315
4,5,97541
5,6,169900
6,7,146494
7,8,101063
