Area mm^2,Index
51.14,1
6279.09,2
5824.38,3
945.05,4
5649.88,5
5653.19,6
2075.88,7
3067.29,8
588.18,9
942.55,10
5193.45,11
10852.82,12
702.55,13
2727.22,14
5398.51,15
2332.82,16
1293.18,17
2429.58,18
5705.79,19
5202.35,20
926.21,21
5442.93,22
4464.1,23
2682.81,24
2623.25,25
154.66,26
592.58,27
1722.75,28
5009.67,29
7121.49,30
1255.89,31
5415.49,32
3492.91,33
3640.29,34
5678.18,35
2345.79,36
5668.38,37
6783.39,38
6436.03,39
1434.62,40
545.47,41
1754.63,42
953.01,43
70.26,44
69.74,45
10742.82,46
2225.7,47
5413.8,48
5291.68,49
867.94,50
1576.35,51
1050.19,52
11916.54,53
2581.26,54
10591.65,55
3514.82,56
904.65,57
650.67,58
1390.3,59
146.26,60
7056.44,61
1800.3,62
873.99,63
3137.22,64
962.91,65
5471.22,66
4632.06,67
6085.01,68
1233.24,69
676.86,70
4785.15,71
3952.43,72
4922.83,73
1202.38,74
4426.02,75
2759.03,76
4928.63,77
5572.11,78
1525.47,79
3574.46,80
4856.78,81
5278.94,82
7293.53,83
3780.78,84
2136.58,85
1139.43,86
3083.89,87
2013.95,88
3653.54,89
4135.9,90
2375.47,91
5285.86,92
2610.25,93
5265.08,94
496.69,95
217.68,96
6207.5,97
247.88,98
4395.47,99
9936.82,100
3502.42,101
3569.31,102
399.78,103
119.14,104
385.7,105
2090.23,106
229.89,107
836.67,108
353.87,109
65.93,110
203.66,111
80.25,112
285.11,113
181.82,114
1446.57,115
7371.32,116
595.43,117
263.53,118
4410.87,119
1540.27,120
86.76,121
70.42,122
72.52,123
51.14,124
6279.09,125
5824.38,126
945.05,127
5649.88,128
5653.19,129
2075.88,130
3067.29,131
588.18,132
942.55,133
5193.45,134
10852.82,135
702.55,136
2727.22,137
5398.51,138
2332.82,139
1293.18,140
2429.58,141
5705.79,142
5202.35,143
926.21,144
5442.93,145
4464.1,146
2682.81,147
2623.25,148
154.66,149
592.58,150
1722.75,151
5009.67,152
7121.49,153
1255.89,154
5415.49,155
3492.91,156
3640.29,157
5678.18,158
2345.79,159
5668.38,160
6783.39,161
6436.03,162
1434.62,163
545.47,164
1754.63,165
953.01,166
70.26,167
69.74,168
10742.82,169
2225.7,170
5413.8,171
5291.68,172
867.94,173
1576.35,174
1050.19,175
11916.54,176
2581.26,177
10591.65,178
3514.82,179
904.65,180
650.67,181
1390.3,182
146.26,183
7056.44,184
1800.3,185
873.99,186
3137.22,187
962.91,188
5471.22,189
4632.06,190
6085.01,191
1233.24,192
676.86,193
4785.15,194
3952.43,195
4922.83,196
1202.38,197
4426.02,198
2759.03,199
4928.63,200
5572.11,201
1525.47,202
3574.46,203
4856.78,204
5278.94,205
7293.53,206
3780.78,207
2136.58,208
1139.43,209
3083.89,210
2013.95,211
3653.54,212
4135.9,213
2375.47,214
5285.86,215
2610.25,216
5265.08,217
496.69,218
217.68,219
6207.5,220
247.88,221
4395.47,222
9936.82,223
3502.42,224
3569.31,225
399.78,226
119.14,227
385.7,228
2090.23,229
229.89,230
836.67,231
353.87,232
65.93,233
203.66,234
80.25,235
285.11,236
181.82,237
1446.57,238
7371.32,239
595.43,240
263.53,241
4410.87,242
1540.27,243
86.76,244
70.42,245
72.52,246
