,label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized,category
25,26,773.01,140.46,0.9070973360250169,75,20,114.58,0.9375,40.65,27.53,400,1.4764150943396226,1.932525,3
26,27,599.14,125.81,0.9293375889493511,58,20,88.8075,0.725,29.48,24.29,400,1.213903743315508,1.49785,2
27,28,474.4,106.79,0.90498712998713,58,20,70.3175,0.725,21.69,32.47,400,0.668,1.186,2
28,29,338.15,101.83,0.8525322107411659,62,20,50.1225,0.775,19.87,22.73,400,0.8742857142857143,0.845375,2
29,30,370.79,97.66,0.9031674951727536,39,20,54.96,0.4875,20.39,22.86,400,0.8920454545454546,0.926975,2
30,31,358.24,94.46,0.9097528590397052,41,20,53.1,0.5125,19.48,22.6,400,0.8620689655172413,0.8956000000000001,2
31,32,369.4,98.1,0.9032125036083962,57,20,54.755,0.7125,21.56,20.91,400,1.031055900621118,0.9235,2
32,33,367.11,93.52,0.9162316888365044,57,20,54.415,0.7125,23.64,21.82,400,1.0833333333333333,0.917775,2
33,34,335.57,91.84,0.8948457317621661,47,20,49.74,0.5875,21.3,21.56,400,0.9879518072289156,0.838925,2
34,35,362.0,96.72,0.8867176203263788,38,20,53.6575,0.475,21.04,22.86,400,0.9204545454545454,0.905,2
35,36,306.71,86.71,0.8951513659857249,35,20,45.4625,0.4375,17.66,21.82,400,0.8095238095238095,0.766775,2
36,37,392.17,93.99,0.939133244476756,30,20,58.13,0.375,18.83,25.71,400,0.7323232323232324,0.980425,2
37,38,408.31,103.14,0.9154125387582244,40,20,60.5225,0.5,21.17,24.94,400,0.8489583333333334,1.020775,2
38,39,372.66,97.64,0.9203565626692216,43,20,55.2375,0.5375,20.52,21.56,400,0.9518072289156626,0.93165,2
39,40,322.33,92.03,0.8927453636660906,40,20,47.7775,0.5,19.87,19.87,400,1.0,0.805825,2
40,41,372.59,102.35,0.908832846505122,38,20,55.2275,0.475,20.39,23.77,400,0.8579234972677595,0.931475,2
41,42,349.97,92.05,0.8995924737709182,56,20,51.875,0.7,20.39,24.42,400,0.8351063829787234,0.8749250000000001,2
42,43,389.09,88.53,0.9329477898653294,33,20,57.6725,0.4125,20.78,21.56,400,0.963855421686747,0.972725,2
43,44,320.51,101.03,0.892788348602302,51,20,47.5075,0.6375,13.77,32.21,400,0.4274193548387097,0.801275,2
44,45,266.18,89.96,0.8846412556053812,48,20,39.455,0.6,20.78,19.74,400,1.0526315789473684,0.66545,1
45,46,384.82,97.52,0.9076659903727572,38,20,57.04,0.475,19.61,26.62,400,0.7365853658536585,0.96205,2
46,47,321.57,91.46,0.9146996737670312,39,20,47.665,0.4875,17.66,22.86,400,0.7727272727272727,0.803925,2
47,48,358.04,93.97,0.9211142931528248,45,20,53.07,0.5625,19.61,22.6,400,0.867816091954023,0.8951,2
48,49,390.01,103.05,0.900116776956014,42,20,57.81,0.525,22.08,21.95,400,1.0059171597633136,0.975025,2
49,50,348.68,93.66,0.9210514591222988,41,20,51.6825,0.5125,19.87,22.08,400,0.9,0.8717,2
50,51,370.84,90.76,0.9201121526615332,29,20,54.9675,0.3625,20.39,23.38,400,0.8722222222222222,0.9271,2
51,52,296.68,149.9,0.8150310443888426,76,20,43.975,0.95,17.14,27.27,400,0.6285714285714286,0.7417,1
52,53,331.71,92.98,0.890030320858035,50,20,49.1675,0.625,22.47,25.32,400,0.8871794871794871,0.829275,2
53,54,672.44,126.33,0.931627526580208,53,20,99.6725,0.6625,30.91,27.14,400,1.138755980861244,1.6811,3
54,55,372.37,94.6,0.905355531862544,45,20,55.195,0.5625,20.26,22.86,400,0.8863636363636364,0.930925,2
55,56,361.27,89.09,0.905401978189196,48,20,53.55,0.6,20.91,21.17,400,0.9877300613496932,0.903175,2
56,57,331.42,88.66,0.914676721128334,47,20,49.125,0.5875,19.22,22.6,400,0.8505747126436781,0.82855,2
57,58,359.55,100.72,0.8934244164117179,51,20,53.295,0.6375,20.65,21.3,400,0.9695121951219512,0.898875,2
58,59,308.43,83.7,0.9321541441533284,28,20,45.7175,0.35,17.92,20.78,400,0.8625,0.7710750000000001,2
0,1,181.9,87.01,0.8301262315270936,43,30,11.983333333333333,0.3583333333333333,31.04,9.35,900,3.3194444444444446,0.2021111111111111,1
1,2,180.97,102.8,0.8209640397857689,54,30,11.922222222222222,0.45,25.84,10.39,900,2.4875,0.2010777777777777,1
2,3,316.38,105.45,0.8833113580711999,42,30,20.842222222222222,0.35,26.49,15.19,900,1.7435897435897436,0.3515333333333333,1
3,4,45.37,68.08,0.5370333399880216,31,30,2.988888888888889,0.2583333333333333,27.4,4.55,900,6.0285714285714285,0.0504111111111111,1
4,5,245.86,178.59,0.8160900235136043,74,30,16.196666666666665,0.6166666666666667,30.13,12.99,900,2.32,0.2731777777777778,1
5,6,905.43,160.92,0.924119054586769,82,30,59.647777777777776,0.6833333333333333,39.22,36.23,900,1.082437275985663,1.0060333333333331,2
6,7,764.83,160.9,0.879005214289868,89,30,50.38555555555556,0.7416666666666667,41.17,29.35,900,1.4026548672566372,0.8498111111111112,2
7,8,827.79,142.46,0.9271047809743288,63,30,54.53333333333333,0.525,34.03,28.83,900,1.18018018018018,0.9197666666666666,2
8,9,696.79,141.43,0.9144292702361716,65,30,45.903333333333336,0.5416666666666666,32.47,27.4,900,1.1848341232227488,0.7742111111111111,2
9,10,706.59,124.75,0.941078689040142,43,30,46.54888888888889,0.3583333333333333,28.57,30.0,900,0.9523809523809524,0.7851,2
10,11,790.67,143.77,0.9236149420758136,70,30,52.08777777777778,0.5833333333333334,32.34,29.48,900,1.0969162995594717,0.8785222222222222,2
11,12,715.09,138.96,0.92898617410548,59,30,47.10888888888889,0.4916666666666666,30.13,30.78,900,0.978902953586498,0.7945444444444445,2
12,13,895.71,141.2,0.935756700086339,62,30,59.007777777777775,0.5166666666666667,37.01,30.0,900,1.2337662337662338,0.9952333333333334,2
13,14,803.46,136.5,0.9301921424666094,51,30,52.93,0.425,32.21,29.09,900,1.1071428571428572,0.8927333333333334,2
14,15,703.03,129.9,0.9299881751857388,54,30,46.31444444444445,0.45,29.35,29.09,900,1.0089285714285714,0.7811444444444444,2
15,16,765.49,129.39,0.9250366867764552,45,30,50.42888888888889,0.375,31.17,29.61,900,1.0526315789473684,0.8505444444444444,2
16,17,816.66,138.18,0.9083746060333184,60,30,53.8,0.5,33.38,28.57,900,1.1681818181818182,0.9074,2
17,18,831.72,137.16,0.925144926176763,63,30,54.79222222222222,0.525,32.86,32.73,900,1.003968253968254,0.9241333333333334,2
18,19,864.65,134.3,0.9240100214487844,52,30,56.96111111111111,0.4333333333333333,32.99,30.13,900,1.0948275862068966,0.960722222222222,2
19,20,741.2,147.93,0.9114779939436678,72,30,48.82888888888889,0.6,30.78,31.3,900,0.983402489626556,0.8235555555555556,2
20,21,783.49,159.87,0.9090428758732706,81,30,51.614444444444445,0.675,32.99,31.43,900,1.0495867768595042,0.8705444444444445,2
21,22,814.42,132.97,0.9288462278305698,54,30,53.65222222222222,0.45,31.3,29.61,900,1.0570175438596492,0.9049111111111112,2
22,23,771.53,152.47,0.9147702275726912,89,30,50.82666666666667,0.7416666666666667,33.64,33.64,900,1.0,0.8572555555555555,2
23,24,866.74,145.36,0.925794480074944,65,30,57.09888888888889,0.5416666666666666,35.32,30.0,900,1.1774891774891776,0.9630444444444444,2
24,25,824.35,128.1,0.9464022926186972,58,30,54.306666666666665,0.4833333333333333,34.03,28.83,900,1.18018018018018,0.9159444444444444,2
25,26,721.84,126.11,0.9315253351906668,56,30,47.553333333333335,0.4666666666666667,30.0,28.44,900,1.0547945205479452,0.8020444444444444,2
26,27,853.55,140.92,0.9235022536907608,54,30,56.23,0.45,36.62,28.44,900,1.2876712328767124,0.9483888888888888,2
27,28,793.27,151.76,0.9112273563886468,73,30,52.25888888888889,0.6083333333333333,33.77,31.3,900,1.0788381742738589,0.8814111111111111,2
28,29,816.97,140.54,0.9276289331060764,63,30,53.82,0.525,32.86,28.83,900,1.1396396396396395,0.9077444444444444,2
