label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized,category
1,648.07,143.47,0.9147264676474789,89,40,24.015,0.55625,49.74,23.9,1600,2.0815217391304346,0.40504375000000004,1
2,1234.88,379.41,0.8954771165088916,199,40,45.76,1.24375,58.83,36.1,1600,1.629496402877698,0.7718,1
3,256.42,105.62,0.8485711096226837,31,40,9.501875,0.19375,34.68,9.22,1600,3.76056338028169,0.1602625,1
4,2689.67,262.49,0.943302810902896,117,40,99.669375,0.73125,86.62,39.35,1600,2.201320132013201,1.68104375,3
5,1274.7,176.22,0.9426269378998965,86,40,47.235625,0.5375,54.16,33.51,1600,1.6162790697674418,0.7966875,1
6,2593.3,381.63,0.8689438080329138,230,40,96.098125,1.4375,50.91,87.14,1600,0.5842026825633383,1.6208125000000002,3
7,207.91,126.98,0.4987457517397637,74,40,7.704375,0.4625,17.01,48.05,1600,0.35405405405405405,0.12994375,1
8,1513.12,181.81,0.9455915678524374,74,40,56.070625,0.4625,41.82,39.87,1600,1.0488599348534202,0.9457,2
9,1305.01,165.12,0.9456843237429416,65,40,48.35875,0.40625,38.83,38.96,1600,0.9966666666666667,0.81563125,2
10,380.01,115.77,0.8771362946237397,56,40,14.081875,0.35,20.65,31.69,1600,0.6516393442622951,0.23750625,1
11,1644.46,208.96,0.9168962825733282,112,40,60.9375,0.7,43.38,58.96,1600,0.73568281938326,1.0277875,2
12,444.61,119.86,0.8816387959866221,68,40,16.475625,0.425,20.39,34.29,1600,0.5946969696969697,0.27788125,1
13,1448.08,177.43,0.9209555274279707,81,40,53.660625,0.50625,44.55,39.48,1600,1.1282894736842106,0.9050499999999999,2
14,1654.88,292.53,0.7514071941123764,157,40,61.32375,0.98125,32.86,85.45,1600,0.3844984802431611,1.0343,2
15,820.05,147.72,0.9282891345437883,69,40,30.388125,0.43125,45.45,21.3,1600,2.1341463414634148,0.51253125,1
16,822.18,146.84,0.9116189478802387,71,40,30.466875,0.44375,29.48,47.53,1600,0.6202185792349727,0.5138625,1
17,1456.82,184.24,0.9194698743879072,92,40,53.984375,0.575,41.17,43.38,1600,0.9491017964071856,0.9105125,2
18,1607.37,203.33,0.9414025070876098,95,40,59.563125,0.59375,42.08,44.16,1600,0.9529411764705882,1.00460625,2
19,10.54,22.77,0.6906077348066298,10,40,0.390625,0.0625,5.71,3.64,1600,1.5714285714285714,0.0065875,0
20,1004.92,163.26,0.9087470449172577,91,40,37.23875,0.56875,44.42,28.83,1600,1.5405405405405406,0.6280749999999999,1
