label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized,category
1,7972.8,93.62,0.9605016387380193,356,10,4727.08,8.9,11.96,13.16,100,0.908974358974359,79.72800000000001,NO_CATEGORY
2,6709.03,55.54,0.9652135932931342,218,10,3977.79,5.45,10.76,11.94,100,0.9011299435028248,67.0903,NO_CATEGORY
3,441.71,17.18,0.8781771846287976,77,10,261.89,1.925,2.95,5.16,100,0.5718954248366013,4.4171,NO_CATEGORY
4,315.25,12.04,0.891023501930686,48,10,186.91,1.2,3.42,2.9,100,1.180232558139535,3.1525,NO_CATEGORY
5,2629.41,41.83,0.7850244221763433,173,10,1558.98,4.325,5.95,14.84,100,0.4011363636363636,26.2941,NO_CATEGORY
6,13317.45,69.77,0.9663157173330135,236,10,7895.93,5.9,19.9,13.46,100,1.4786967418546366,133.1745,NO_CATEGORY
7,188.18,11.52,0.8143795620437956,47,10,111.57,1.175,1.89,3.44,100,0.5490196078431373,1.8818000000000001,NO_CATEGORY
8,188.48,17.06,0.586983926883076,76,10,111.75,1.9,1.28,6.04,100,0.2122905027932961,1.8847999999999998,NO_CATEGORY
9,14.07,2.36,0.7996164908916586,9,10,8.34,0.225,0.81,0.54,100,1.5,0.1407,NO_CATEGORY
10,1.89,0.78,0.7832167832167832,0,10,1.12,0.0,0.17,0.3,100,0.5555555555555556,0.0189,NO_CATEGORY
