label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized,category
1,4636.34,668.22,0.9430154373927959,318,60,76.35805555555555,1.325,58.83,90.39,3600,0.6508620689655172,1.2878722222222223,NO_CATEGORY
2,3432.16,295.04,0.9011890790726512,118,60,56.52583333333333,0.49166666666666664,67.79,59.35,3600,1.1422319474835887,0.9533777777777778,NO_CATEGORY
3,3007.99,314.0,0.9339386988830063,152,60,49.54,0.6333333333333333,64.29,57.27,3600,1.1224489795918366,0.8355527777777777,NO_CATEGORY
4,4652.97,344.74,0.953552035338889,145,60,76.63194444444444,0.6041666666666666,96.49,56.1,3600,1.7199074074074074,1.2924916666666668,NO_CATEGORY
5,724.34,139.09,0.92846178791482,69,60,11.929444444444444,0.2875,21.43,41.17,3600,0.5205047318611987,0.20120555555555555,NO_CATEGORY
6,4953.14,358.21,0.9625592028712369,190,60,81.57555555555555,0.7916666666666666,61.95,104.42,3600,0.5932835820895522,1.3758722222222224,NO_CATEGORY
7,962.55,192.17,0.8395363205743035,100,60,15.852777777777778,0.4166666666666667,22.34,61.17,3600,0.3651804670912951,0.267375,NO_CATEGORY
8,3214.85,276.47,0.955836041240422,110,60,52.94694444444445,0.4583333333333333,59.74,58.31,3600,1.024498886414254,0.8930138888888889,NO_CATEGORY
9,1696.3,212.24,0.9440731423422071,97,60,27.93722222222222,0.4041666666666667,60.0,34.29,3600,1.75,0.4711944444444444,NO_CATEGORY
