label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized,category
1,270.85,226.52,0.7294571882807177,123,90,1.9825925925925927,0.3416666666666667,27.53,19.09,8100,1.4421768707482994,0.03343827160493827,NO_CATEGORY
2,5.06,21.93,0.4608294930875576,8,90,0.037037037037037035,0.022222222222222223,6.1,2.47,8100,2.473684210526316,0.0006246913580246913,NO_CATEGORY
3,2.01,7.99,0.7,1,90,0.014691358024691358,0.002777777777777778,2.6,1.56,8100,1.6666666666666667,0.0002481481481481481,NO_CATEGORY
4,2.73,11.55,0.6022304832713755,4,90,0.02,0.011111111111111112,3.77,1.69,8100,2.230769230769231,0.00033703703703703706,NO_CATEGORY
5,1456.74,446.41,0.8968754218543941,226,90,10.662962962962963,0.6277777777777778,63.38,28.83,8100,2.1981981981981984,0.17984444444444445,NO_CATEGORY
6,39.03,64.56,0.7065648854961832,29,90,0.285679012345679,0.08055555555555556,13.38,5.71,8100,2.340909090909091,0.004818518518518519,NO_CATEGORY
7,14237.52,642.06,0.9601284805828942,306,90,104.21530864197531,0.85,86.23,193.38,8100,0.44593687038280727,1.7577185185185187,NO_CATEGORY
8,1088.66,185.08,0.9168607954545455,99,90,7.968765432098765,0.275,62.99,29.48,8100,2.1365638766519823,0.13440246913580248,NO_CATEGORY
9,9894.3,627.81,0.8662857750416062,381,90,72.42395061728395,1.0583333333333333,92.86,154.16,8100,0.6023588879528222,1.2215185185185184,NO_CATEGORY
10,572.2,128.82,0.8581691245288746,61,90,4.188395061728395,0.16944444444444445,24.55,36.36,8100,0.675,0.07064197530864198,NO_CATEGORY
11,163.48,82.42,0.8353154084798345,45,90,1.1966666666666668,0.125,14.94,22.21,8100,0.672514619883041,0.020182716049382717,NO_CATEGORY
12,826.34,255.85,0.81737041424067,153,90,6.048641975308642,0.425,16.23,87.79,8100,0.1849112426035503,0.1020172839506173,NO_CATEGORY
13,860.56,167.51,0.8888250152425747,72,90,6.299135802469136,0.2,22.08,53.51,8100,0.41262135922330095,0.10624197530864198,NO_CATEGORY
