label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized,category
1,6215.56,420.08,0.9172254329505348,227,80,57.58140625,0.709375,104.93,98.44,6400,1.0659630606860158,0.9711812500000001,2
2,5791.56,387.95,0.9573811993263965,172,80,53.6534375,0.5375,64.03,100.78,6400,0.6353092783505154,0.9049312500000001,2
3,908.13,225.89,0.8924895158215783,138,80,8.41296875,0.43125,16.36,84.81,6400,0.19295558958652373,0.1418953125,1
4,5617.39,383.18,0.9499546494315492,170,80,52.04,0.53125,78.57,79.74,6400,0.9853420195439739,0.8777171875,2
5,5635.44,348.17,0.9638657789368011,155,80,52.2071875,0.484375,78.96,77.53,6400,1.018425460636516,0.8805375,2
6,2035.2,287.87,0.8188585776330076,131,80,18.85421875,0.409375,42.86,73.38,6400,0.584070796460177,0.318,1
7,2.4,7.52,0.7513227513227513,1,80,0.0221875,0.003125,1.82,2.21,6400,0.8235294117647058,0.000375,0
