label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized,category
1,932.21,298.42,0.8026342540152769,182,10,552.71,4.55,18.31,104.42,100,0.17537313432835822,9.3221,3
2,293.59,122.35,0.865589259075087,69,10,174.07,1.725,15.06,37.01,100,0.4070175438596491,2.9358999999999997,NO_CATEGORY
3,341.2,125.21,0.8539107678021189,71,10,202.3,1.775,10.91,40.39,100,0.27009646302250806,3.412,NO_CATEGORY
4,657.61,211.13,0.8147358742895353,116,10,389.9,2.9,17.4,73.77,100,0.23591549295774647,6.5761,NO_CATEGORY
5,251.17,85.88,0.8897651908944255,48,10,148.92,1.2,12.86,31.69,100,0.4057377049180328,2.5117,NO_CATEGORY
6,826.65,259.04,0.8149650814765547,144,10,490.12,3.6,12.47,91.56,100,0.13617021276595745,8.2665,NO_CATEGORY
7,398.01,143.05,0.8623424081856386,78,10,235.98,1.95,12.21,46.23,100,0.2640449438202247,3.9800999999999997,NO_CATEGORY
8,349.3,145.77,0.5948756247486643,84,10,207.1,2.1,17.4,44.16,100,0.3941176470588235,3.4930000000000003,NO_CATEGORY
9,461.68,175.18,0.8267790262172284,106,10,273.73,2.65,14.81,58.7,100,0.252212389380531,4.6168000000000005,NO_CATEGORY
10,283.39,104.21,0.8503466774634344,62,10,168.02,1.55,13.77,34.42,100,0.4,2.8339,NO_CATEGORY
11,713.73,229.3,0.7997467541057963,147,10,423.17,3.675,12.86,82.6,100,0.15566037735849056,7.1373,NO_CATEGORY
12,1157.16,418.14,0.7861398844990375,247,10,686.08,6.175,15.58,155.97,100,0.09991673605328892,11.5716,NO_CATEGORY
13,1339.68,438.61,0.7966980611641039,282,10,794.3,7.05,14.16,151.82,100,0.0932420872540633,13.3968,NO_CATEGORY
14,1387.89,403.4,0.8344707994037176,241,10,822.88,6.025,15.19,145.97,100,0.10409252669039146,13.878900000000002,NO_CATEGORY
15,1343.02,410.18,0.7366483186086313,261,10,796.28,6.525,15.71,141.17,100,0.11131554737810488,13.4302,NO_CATEGORY
16,1090.35,341.26,0.798160380270387,202,10,646.47,5.05,18.18,123.12,100,0.14767932489451477,10.9035,NO_CATEGORY
17,981.18,327.09,0.8220846758238652,195,10,581.74,4.875,15.71,119.87,100,0.13109425785482123,9.8118,NO_CATEGORY
18,869.27,319.42,0.7222393497757847,198,10,515.39,4.95,15.58,107.14,100,0.14545454545454545,8.6927,NO_CATEGORY
19,1017.29,318.1,0.8238516069989482,200,10,603.15,5.0,12.6,112.47,100,0.11200923787528869,10.1729,NO_CATEGORY
20,967.6,283.79,0.7701674072681872,169,10,573.69,4.225,16.62,102.47,100,0.16223067173637515,9.676,NO_CATEGORY
21,902.83,273.56,0.8054076013361018,162,10,535.29,4.05,12.86,96.75,100,0.13288590604026845,9.0283,NO_CATEGORY
22,829.18,263.23,0.838813151563753,162,10,491.62,4.05,12.21,95.32,100,0.12806539509536785,8.2918,NO_CATEGORY
