label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized,category
1,1354.95,27.47,0.9468777256547465,99,10,803.35,2.475,3.69,7.66,100,0.48237885462555063,13.5495,NO_CATEGORY
2,15442.35,79.54,0.9699094476177562,267,10,9155.79,6.675,21.72,12.85,100,1.6902887139107612,154.4235,NO_CATEGORY
3,1126.19,25.16,0.9215269535455022,117,10,667.72,2.925,5.7,6.22,100,0.9159891598915989,11.2619,NO_CATEGORY
4,8648.59,85.59,0.6981512014671665,408,10,5127.76,10.2,22.55,10.64,100,2.1188589540412046,86.4859,NO_CATEGORY
5,711.2,19.55,0.8590258113146046,67,10,421.67,1.675,3.34,6.16,100,0.5424657534246575,7.112,NO_CATEGORY
